T_over_Tc, mu_over_kTc, z
5.991783567134268962e-01,-1.107168261784540787e-02,9.816915651694536615e-01
6.011422845691383188e-01,-1.115501479577927710e-02,9.816147457112860408e-01
6.031062124248497414e-01,-1.123913396019786404e-02,9.815371517110642596e-01
6.050701402805611639e-01,-1.132405184572299849e-02,9.814587719191003590e-01
6.070340681362725865e-01,-1.140978041916292617e-02,9.813795948638180944e-01
6.089979959919840091e-01,-1.149633188529792724e-02,9.812996088462809796e-01
6.109619238476954317e-01,-1.158371869284076372e-02,9.812188019345555734e-01
6.129258517034068543e-01,-1.167195354057549983e-02,9.811371619579084546e-01
6.148897795591182769e-01,-1.176104938368391535e-02,9.810546765008263392e-01
6.168537074148296995e-01,-1.185101944026388174e-02,9.809713328968568957e-01
6.188176352705411221e-01,-1.194187719804822197e-02,9.808871182222611562e-01
6.207815631262525446e-01,-1.203363642132966593e-02,9.808020192894734146e-01
6.227454909819639672e-01,-1.212631115810128279e-02,9.807160226403586201e-01
6.247094188376753898e-01,-1.221991574741800382e-02,9.806291145392634911e-01
6.266733466933868124e-01,-1.231446482698960593e-02,9.805412809658502482e-01
6.286372745490982350e-01,-1.240997334101160560e-02,9.804525076077083012e-01
6.306012024048096576e-01,-1.250645654824395284e-02,9.803627798527340120e-01
6.325651302605210802e-01,-1.260393003034707832e-02,9.802720827812694271e-01
6.345290581162325028e-01,-1.270240970048333237e-02,9.801804011579935416e-01
6.364929859719439253e-01,-1.280191181219548190e-02,9.800877194235542156e-01
6.384569138276553479e-01,-1.290245296857175754e-02,9.799940216859325259e-01
6.404208416833667705e-01,-1.300405013170841811e-02,9.798992917115293411e-01
6.423847695390781931e-01,-1.310672063248130223e-02,9.798035129159634593e-01
6.443486973947896157e-01,-1.321048218063833844e-02,9.797066683545700982e-01
6.463126252505010383e-01,-1.331535287522477365e-02,9.796087407125892987e-01
6.482765531062124609e-01,-1.342135121535504433e-02,9.795097122950306989e-01
6.502404809619238835e-01,-1.352849611134362279e-02,9.794095650162040201e-01
6.522044088176353061e-01,-1.363680689620992356e-02,9.793082803889007204e-01
6.541683366733467286e-01,-1.374630333757085807e-02,9.792058395132149373e-01
6.561322645290581512e-01,-1.385700564993806554e-02,9.791022230649870650e-01
6.580961923847695738e-01,-1.396893450743393224e-02,9.789974112838580877e-01
6.600601202404809964e-01,-1.408211105694479916e-02,9.788913839609167944e-01
6.620240480961924190e-01,-1.419655693172830815e-02,9.787841204259246641e-01
6.639879759519038416e-01,-1.431229426549288433e-02,9.786755995341019920e-01
6.659519038076152642e-01,-1.442934570696969600e-02,9.785657996524560476e-01
6.679158316633266868e-01,-1.454773443499612906e-02,9.784546986456342799e-01
6.698797595190381093e-01,-1.466748417413255533e-02,9.783422738612822522e-01
6.718436873747495319e-01,-1.478861921083459742e-02,9.782285021148857673e-01
6.738076152304609545e-01,-1.491116441020316763e-02,9.781133596740773095e-01
6.757715430861723771e-01,-1.503514523333787829e-02,9.779968222423824908e-01
6.777354709418837997e-01,-1.516058775531821910e-02,9.778788649423847401e-01
6.796993987975952223e-01,-1.528751868383974519e-02,9.777594622982829220e-01
6.816633266533066449e-01,-1.541596537853296388e-02,9.776385882178166842e-01
6.836272545090180675e-01,-1.554595587099424393e-02,9.775162159735326650e-01
6.855911823647294900e-01,-1.567751888556053602e-02,9.773923181833619189e-01
6.875551102204409126e-01,-1.581068386085838703e-02,9.772668667904816919e-01
6.895190380761523352e-01,-1.594548097216303556e-02,9.771398330424277967e-01
6.914829659318637578e-01,-1.608194115460277046e-02,9.770111874694257237e-01
6.934468937875751804e-01,-1.622009612724463479e-02,9.768808998619081807e-01
6.954108216432866030e-01,-1.635997841810388556e-02,9.767489392471788712e-01
6.973747494989980256e-01,-1.650162139011506282e-02,9.766152738651896481e-01
6.993386773547094482e-01,-1.664505926811152628e-02,9.764798711433867462e-01
7.013026052104208707e-01,-1.679032716685670279e-02,9.763426976705879001e-01
7.032665330661322933e-01,-1.693746112017747649e-02,9.762037191698432759e-01
